ID,Income (in $1000s),Education Level (Years),Years of Experience,Age
1,50,16,10,35
2,60,18,12,38
3,45,14,8,30
4,70,20,15,45
5,55,17,11,36
6,65,19,13,40
7,50,15,9,32
8,80,22,18,50
9,40,13,7,28
10,75,21,16,48
11,52,16,9,34
12,68,19,14,42
13,48,15,8,31
14,58,17,12,37
15,62,18,13,39
16,54,15,10,33
17,77,21,17,47
18,59,18,11,35
19,43,14,6,29
20,69,20,15,44
21,57,17,10,36
22,73,20,16,46
23,47,14,9,32
24,66,19,13,41
25,49,15,8,31
26,61,18,12,37
27,81,22,19,51
28,53,16,11,34
29,74,21,15,47
30,46,14,7,30
31,64,19,14,39
32,56,17,11,35
33,70,20,16,46
34,45,14,8,32
35,60,18,13,38
36,72,21,17,49
37,50,16,10,34
38,67,19,14,43
39,51,16,11,35
40,79,22,18,49
41,54,15,9,33
42,82,23,19,52
43,41,13,7,28
44,63,19,13,40
45,58,18,12,37
46,85,24,20,53
47,42,14,6,29
48,67,20,15,44
49,56,17,11,35
50,64,19,14,39